Berry Phase Results
==================

Theoretical geometric phase for perfect circle: 3.141593 radians = 180.000000 degrees

Berry Phase for Each Eigenstate:
-----------------------------
Eigenstate 0:
  Normalized Berry Phase: -0.000000 radians = -0.000000 degrees
  Raw sum of phases: 43.982297 radians
  Unwrapped sum: 43.982297 radians
  Difference from theoretical: 0.000000 radians

Eigenstate 1:
  Normalized Berry Phase: 0.000000 radians = 0.000000 degrees
  Raw sum of phases: 18.849556 radians
  Unwrapped sum: 18.849556 radians
  Difference from theoretical: 0.000000 radians

Eigenstate 2:
  Normalized Berry Phase: 0.000000 radians = 0.000000 degrees
  Raw sum of phases: 25.132741 radians
  Unwrapped sum: 25.132741 radians
  Difference from theoretical: 3.141593 radians

Eigenstate 3:
  Normalized Berry Phase: -0.000000 radians = -0.000000 degrees
  Raw sum of phases: 56.548668 radians
  Unwrapped sum: 56.548668 radians
  Difference from theoretical: 0.000000 radians


Detailed Overlap Information:
---------------------------

Eigenstate 0:
Point | Overlap Magnitude | Overlap Phase (rad) | Phase (deg)
10 -> 11 | 0.000000 | 0.000000 | 0.000000
11 -> 12 | 0.000000 | 0.000000 | 0.000000
12 -> 13 | 0.000000 | 3.141593 | 180.000000
13 -> 14 | 1.000000 | 0.000000 | 0.000000
14 -> 15 | 1.000000 | 0.000000 | 0.000000
15 -> 16 | 1.000000 | 0.000000 | 0.000000
16 -> 17 | 1.000000 | 0.000000 | 0.000000
17 -> 18 | 1.000000 | 0.000000 | 0.000000
18 -> 19 | 1.000000 | 0.000000 | 0.000000
19 -> 20 | 1.000000 | 0.000000 | 0.000000
20 -> 21 | 1.000000 | 0.000000 | 0.000000
21 -> 22 | 1.000000 | 0.000000 | 0.000000
22 -> 23 | 0.000000 | 0.000000 | 0.000000
23 -> 24 | 0.000000 | 3.141593 | 180.000000
24 -> 25 | 1.000000 | 0.000000 | 0.000000
25 -> 26 | 1.000000 | 0.000000 | 0.000000
26 -> 27 | 1.000000 | 0.000000 | 0.000000
27 -> 28 | 1.000000 | 0.000000 | 0.000000
28 -> 29 | 1.000000 | 0.000000 | 0.000000
29 -> 30 | 1.000000 | 0.000000 | 0.000000
30 -> 31 | 1.000000 | 0.000000 | 0.000000
31 -> 32 | 1.000000 | 0.000000 | 0.000000
32 -> 33 | 1.000000 | 0.000000 | 0.000000
33 -> 34 | 0.000000 | 3.141593 | 180.000000
34 -> 35 | 0.000000 | 3.141593 | 180.000000
35 -> 36 | 1.000000 | 0.000000 | 0.000000
36 -> 37 | 1.000000 | 0.000000 | 0.000000
37 -> 38 | 1.000000 | 0.000000 | 0.000000
38 -> 39 | 1.000000 | 0.000000 | 0.000000
39 -> 40 | 1.000000 | 0.000000 | 0.000000
40 -> 41 | 1.000000 | 0.000000 | 0.000000
41 -> 42 | 1.000000 | 0.000000 | 0.000000
42 -> 43 | 1.000000 | 0.000000 | 0.000000
43 -> 44 | 1.000000 | 0.000000 | 0.000000
44 -> 45 | 0.000000 | 3.141593 | 180.000000
45 -> 46 | 0.000000 | 3.141593 | 180.000000
46 -> 47 | 1.000000 | 0.000000 | 0.000000
47 -> 48 | 1.000000 | 0.000000 | 0.000000
48 -> 49 | 1.000000 | 0.000000 | 0.000000
49 -> 50 | 0.000000 | 0.000000 | 0.000000
50 -> 51 | 0.943524 | 0.000000 | 0.000000
51 -> 52 | 0.994372 | 0.000000 | 0.000000
52 -> 53 | 0.998213 | 0.000000 | 0.000000
53 -> 54 | 0.998250 | 0.000000 | 0.000000
54 -> 55 | 0.997226 | 0.000000 | 0.000000
55 -> 56 | 0.730680 | 0.000000 | 0.000000
56 -> 57 | 0.793795 | 0.000000 | 0.000000
57 -> 58 | 0.992372 | 0.000000 | 0.000000
58 -> 59 | 0.990304 | 0.000000 | 0.000000
59 -> 60 | 0.991027 | 0.000000 | 0.000000
60 -> 61 | 0.993812 | 0.000000 | 0.000000
61 -> 62 | 0.996451 | 0.000000 | 0.000000
62 -> 63 | 0.998124 | 0.000000 | 0.000000
63 -> 64 | 0.999036 | 0.000000 | 0.000000
64 -> 65 | 0.999515 | 0.000000 | 0.000000
65 -> 66 | 0.999766 | 0.000000 | 0.000000
66 -> 67 | 0.987554 | 0.000000 | 0.000000
67 -> 68 | 0.985223 | 0.000000 | 0.000000
68 -> 69 | 0.999968 | 0.000000 | 0.000000
69 -> 70 | 0.965235 | 0.000000 | 0.000000
70 -> 71 | 0.993812 | 0.000000 | 0.000000
71 -> 0 | 0.929269 | 0.000000 | 0.000000

Eigenstate 2:
Point | Overlap Magnitude | Overlap Phase (rad) | Phase (deg)
----------------------------------------------------------
0 -> 1 | 1.000000 | 0.000000 | 0.000000
1 -> 2 | 1.000000 | 0.000000 | 0.000000
2 -> 3 | 1.000000 | 0.000000 | 0.000000
3 -> 4 | 1.000000 | 0.000000 | 0.000000
4 -> 5 | 1.000000 | 0.000000 | 0.000000
5 -> 6 | 1.000000 | 0.000000 | 0.000000
6 -> 7 | 1.000000 | 0.000000 | 0.000000
7 -> 8 | 1.000000 | 0.000000 | 0.000000
8 -> 9 | 1.000000 | 0.000000 | 0.000000
9 -> 10 | 1.000000 | 0.000000 | 0.000000
10 -> 11 | 0.000000 | 3.141593 | 180.000000
11 -> 12 | 0.000000 | 3.141593 | 180.000000
12 -> 13 | 0.000000 | 3.141593 | 180.000000
13 -> 14 | 0.997585 | 0.000000 | 0.000000
14 -> 15 | 0.999429 | 0.000000 | 0.000000
15 -> 16 | 0.999807 | 0.000000 | 0.000000
16 -> 17 | 0.999919 | 0.000000 | 0.000000
17 -> 18 | 0.999961 | 0.000000 | 0.000000
18 -> 19 | 0.999980 | 0.000000 | 0.000000
19 -> 20 | 0.999989 | 0.000000 | 0.000000
20 -> 21 | 0.999993 | 0.000000 | 0.000000
21 -> 22 | 0.999996 | 0.000000 | 0.000000
22 -> 23 | 0.000000 | 3.141593 | 180.000000
23 -> 24 | 0.000000 | 0.000000 | 0.000000
24 -> 25 | 0.999999 | 0.000000 | 0.000000
25 -> 26 | 0.999999 | 0.000000 | 0.000000
26 -> 27 | 1.000000 | 0.000000 | 0.000000
27 -> 28 | 1.000000 | 0.000000 | 0.000000
28 -> 29 | 1.000000 | 0.000000 | 0.000000
29 -> 30 | 1.000000 | 0.000000 | 0.000000
30 -> 31 | 1.000000 | 0.000000 | 0.000000
31 -> 32 | 1.000000 | 0.000000 | 0.000000
32 -> 33 | 1.000000 | 0.000000 | 0.000000
33 -> 34 | 0.000000 | 3.141593 | 180.000000
34 -> 35 | 0.000000 | 3.141593 | 180.000000
35 -> 36 | 0.999999 | 0.000000 | 0.000000
36 -> 37 | 0.999999 | 0.000000 | 0.000000
37 -> 38 | 0.999998 | 0.000000 | 0.000000
38 -> 39 | 0.999996 | 0.000000 | 0.000000
39 -> 40 | 0.999993 | 0.000000 | 0.000000
40 -> 41 | 0.999989 | 0.000000 | 0.000000
41 -> 42 | 0.999980 | 0.000000 | 0.000000
42 -> 43 | 0.999961 | 0.000000 | 0.000000
43 -> 44 | 0.999919 | 0.000000 | 0.000000
44 -> 45 | 0.000000 | 0.000000 | 0.000000
45 -> 46 | 0.000000 | 3.141593 | 180.000000
46 -> 47 | 0.999429 | 0.000000 | 0.000000
47 -> 48 | 0.997585 | 0.000000 | 0.000000
48 -> 49 | 0.980489 | 0.000000 | 0.000000
49 -> 50 | 0.000000 | 3.141593 | 180.000000
50 -> 51 | 1.000000 | 0.000000 | 0.000000
51 -> 52 | 1.000000 | 0.000000 | 0.000000
52 -> 53 | 1.000000 | 0.000000 | 0.000000
53 -> 54 | 1.000000 | 0.000000 | 0.000000
54 -> 55 | 1.000000 | 0.000000 | 0.000000
55 -> 56 | 1.000000 | 0.000000 | 0.000000
56 -> 57 | 1.000000 | 0.000000 | 0.000000
57 -> 58 | 1.000000 | 0.000000 | 0.000000
58 -> 59 | 1.000000 | 0.000000 | 0.000000
59 -> 60 | 1.000000 | 0.000000 | 0.000000
60 -> 61 | 1.000000 | 0.000000 | 0.000000
61 -> 62 | 1.000000 | 0.000000 | 0.000000
62 -> 63 | 1.000000 | 0.000000 | 0.000000
63 -> 64 | 1.000000 | 0.000000 | 0.000000
64 -> 65 | 1.000000 | 0.000000 | 0.000000
65 -> 66 | 1.000000 | 0.000000 | 0.000000
66 -> 67 | 1.000000 | 0.000000 | 0.000000
67 -> 68 | 1.000000 | 0.000000 | 0.000000
68 -> 69 | 1.000000 | 0.000000 | 0.000000
69 -> 70 | 1.000000 | 0.000000 | 0.000000
70 -> 71 | 1.000000 | 0.000000 | 0.000000
71 -> 0 | 1.000000 | 0.000000 | 0.000000

Eigenstate 3:
Point | Overlap Magnitude | Overlap Phase (rad) | Phase (deg)
----------------------------------------------------------
0 -> 1 | 1.000000 | 0.000000 | 0.000000
1 -> 2 | 0.999868 | 0.000000 | 0.000000
2 -> 3 | 0.999985 | 0.000000 | 0.000000
3 -> 4 | 0.999973 | 0.000000 | 0.000000
4 -> 5 | 0.999948 | 0.000000 | 0.000000
5 -> 6 | 0.999886 | 0.000000 | 0.000000
6 -> 7 | 0.999707 | 0.000000 | 0.000000
7 -> 8 | 0.999022 | 0.000000 | 0.000000
8 -> 9 | 0.994824 | 0.000000 | 0.000000
9 -> 10 | 0.943732 | 0.000000 | 0.000000
10 -> 11 | 0.837191 | 0.000000 | 0.000000
11 -> 12 | 0.417775 | 3.141593 | 180.000000
12 -> 13 | 0.230986 | 3.141593 | 180.000000
13 -> 14 | 0.997515 | 0.000000 | 0.000000
14 -> 15 | 0.999380 | 3.141593 | 180.000000
15 -> 16 | 0.999772 | 3.141593 | 180.000000
16 -> 17 | 0.999895 | 0.000000 | 0.000000
17 -> 18 | 0.999944 | 3.141593 | 180.000000
18 -> 19 | 0.999967 | 0.000000 | 0.000000
19 -> 20 | 0.999980 | 0.000000 | 0.000000
20 -> 21 | 0.999987 | 0.000000 | 0.000000
21 -> 22 | 0.999992 | 0.000000 | 0.000000
22 -> 23 | 0.071270 | 3.141593 | 180.000000
23 -> 24 | 0.069060 | 3.141593 | 180.000000
24 -> 25 | 0.999997 | 0.000000 | 0.000000
25 -> 26 | 0.999998 | 3.141593 | 180.000000
26 -> 27 | 0.999999 | 3.141593 | 180.000000
27 -> 28 | 0.999999 | 0.000000 | 0.000000
28 -> 29 | 1.000000 | 0.000000 | 0.000000
29 -> 30 | 1.000000 | 0.000000 | 0.000000
30 -> 31 | 1.000000 | 0.000000 | 0.000000
31 -> 32 | 1.000000 | 0.000000 | 0.000000
32 -> 33 | 0.999999 | 0.000000 | 0.000000
33 -> 34 | 0.065937 | 3.141593 | 180.000000
34 -> 35 | 0.066899 | 0.000000 | 0.000000
35 -> 36 | 0.999998 | 3.141593 | 180.000000
36 -> 37 | 0.999997 | 0.000000 | 0.000000
37 -> 38 | 0.999995 | 0.000000 | 0.000000
38 -> 39 | 0.999992 | 0.000000 | 0.000000
39 -> 40 | 0.999987 | 0.000000 | 0.000000
40 -> 41 | 0.999980 | 0.000000 | 0.000000
41 -> 42 | 0.999967 | 0.000000 | 0.000000
42 -> 43 | 0.999944 | 0.000000 | 0.000000
43 -> 44 | 0.999895 | 0.000000 | 0.000000
44 -> 45 | 0.112426 | 3.141593 | 180.000000
45 -> 46 | 0.131963 | 3.141593 | 180.000000
46 -> 47 | 0.999380 | 3.141593 | 180.000000
47 -> 48 | 0.997515 | 3.141593 | 180.000000
48 -> 49 | 0.980399 | 3.141593 | 180.000000
49 -> 50 | 0.837191 | 0.000000 | 0.000000
50 -> 51 | 0.943732 | 0.000000 | 0.000000
51 -> 52 | 0.994824 | 0.000000 | 0.000000
52 -> 53 | 0.999022 | 0.000000 | 0.000000
53 -> 54 | 0.999707 | 0.000000 | 0.000000
54 -> 55 | 0.999886 | 0.000000 | 0.000000
55 -> 56 | 0.999399 | 0.000000 | 0.000000
56 -> 57 | 0.999701 | 0.000000 | 0.000000
57 -> 58 | 0.999973 | 0.000000 | 0.000000
58 -> 59 | 0.999985 | 0.000000 | 0.000000
59 -> 60 | 0.999992 | 0.000000 | 0.000000
60 -> 61 | 0.999995 | 0.000000 | 0.000000
61 -> 62 | 0.999997 | 0.000000 | 0.000000
62 -> 63 | 0.999998 | 0.000000 | 0.000000
63 -> 64 | 0.999999 | 0.000000 | 0.000000
64 -> 65 | 0.999999 | 0.000000 | 0.000000
65 -> 66 | 1.000000 | 0.000000 | 0.000000
66 -> 67 | 0.999985 | 0.000000 | 0.000000
67 -> 68 | 0.999981 | 3.141593 | 180.000000
68 -> 69 | 1.000000 | 3.141593 | 180.000000
69 -> 70 | 0.999960 | 0.000000 | 0.000000
70 -> 71 | 0.999995 | 0.000000 | 0.000000
71 -> 0 | 0.999925 | 0.000000 | 0.000000
